zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
152,479,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,48,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,480,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , 
152,481,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , 
152,482,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , 
152,483,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , 
152,49,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,491,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,492,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,5,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,50,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,51,POINT(-43.3525 -21.76505),POINT(-43.3525 -21.76505), , 
152,519,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,52,POINT(-43.3525 -21.76505),POINT(-43.3525 -21.76505), , 
152,520,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , 
152,521,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , 
152,522,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), ,POINT(-43.352498 -21.7621496)
152,523,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,53,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,54,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,544,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , 
152,545,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,55,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,56,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,57,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
